Fator_n,Erro_vC_ZOH_percent,Erro_iL_ZOH_percent,Erro_D_ZOH_percent
1,89.2339588806315,110.50685743207498,92.71793684208606
2,16.855264501649785,18.72257405715989,48.60538077790517
3,28.609051629986247,29.645964053994124,29.95065692163469
4,13.120142745578034,13.653884513198697,18.4229983812674
5,13.890685480681444,14.016287675860598,14.56239928207622
6,10.214310184528014,10.278898966773077,10.781572817070073
7,8.363722264500913,8.223117985642508,12.294450777344384
8,7.626705525360856,7.597907594001511,6.654050344785123
9,8.758259005947169,8.59767717717277,11.806423623469836
10,5.787736000115795,5.596062457202492,4.274426228848101
20,4.510075064938601,4.280348487797794,1.9273588026952253
30,3.5617799827030012,3.256280570015428,1.2318512391537084
40,3.2804457053150493,2.921380128164799,1.5134290494037572
50,3.258120280982483,2.934491785773022,1.4784388120256424
60,3.324840537282718,2.9797765588761838,1.4839396819273154
70,3.1973655284055873,2.8211354160911726,2.2432836625531043
80,3.2202865235784714,2.832173155243985,2.0503178424434836
90,3.221699951935851,2.8414194870728475,2.0245206039907933
100,3.2340201652057816,2.841315806979391,1.9997992391473758
200,3.190899766814296,2.7933717400315397,2.7848603947719655
300,3.1767670217651576,2.7809938521971227,3.0094381659563245
400,3.171197758048663,2.768999853423381,3.1285450478130694
500,3.1857508453648,2.784308355539112,3.2146599937192812
600,3.1776570064085794,2.775966114528579,3.2534121610656856
700,3.1780383777921597,2.7748160912511635,3.293218535619691
800,3.1720776047864794,2.7691022200487447,3.3202824925994676
900,3.182428971689629,2.7792152496713336,3.321245821146478
1000,3.1798554702463977,2.776578225698749,3.318259389731779
2000,3.1791949906120687,2.7758827008839053,3.369441078600171
3000,3.181009650848037,2.7778520293956834,3.3874586895613965
4000,3.179409155473647,2.775972510157327,3.406918173780403
5000,3.1794068705025538,2.7765264348717045,3.4078307701257455
6000,3.1803859256690785,2.777260224473889,3.4062576215053557
7000,3.179819726346534,2.776647513388126,3.4087947376405032
8000,3.1797120374602224,2.776569661107123,3.4135283172763464
9000,3.180196801035004,2.7770445004482087,3.4153796345128296
10000,3.1799078448962894,2.7768862035646142,3.4162367971394603
